Player,Main Pos,Other Pos,Squad
Amelia Abbott,RB,CB,Wellington Phoenix
Ella Abdul Massih,LW,AM,Perth Glory
Claire Adams,LM,,Newcastle Jets
Josie Allan,RW,CF,Newcastle Jets
Lauren Allan,RM,"RWB,RW,AM",Newcastle Jets
Mischa Anderson,CB,,Perth Glory
Elizabeth Anton,CB,,Canberra Utd
Alexia Apostolakis,RB,"CB,LB",Melb City
Madison Ayson,CB,,Canberra Utd
Melissa Barbieri,GK,,Melb City
Mackenzie Barry,CB,,Wellington Phoenix
Lorena Baumann,CB,"LB,LWB,LM",Newcastle Jets
Amelia Bennett,RB,"CB,LB,LM,RM,RW",W Sydney
Tegan Bertolissio,CB,"LB,RB,CM",Canberra Utd
Jasmine Black,GK,GK,Sydney FC
Chelsea Blissett,CB,LB,Brisbane Roar
Lourdes Bosch,RW,"LM,RM,CF",Melb City
Katie Bowler,LW,,Adelaide Utd
Jaya Bowman,AM,,Canberra Utd
Daisy Brazendale,CM,"DM,AM",Wellington Phoenix
India Breier,LW,LM,Newcastle Jets
Ava Briedis,RW,"CM,AM,LW,CF",Melb Victory
Ischia Brooking,CM,"DM,LM,RM",Perth Glory
Kelli Brown,RW,CF,Perth Glory
Faye Bryson,LB,"RB,DM,CM,RW",Sydney FC
Ella Buchanan,CB,LB,W Sydney
Claudia Bunge,CB,,Melb Victory
Holly Caspers,CF,"AM,LW",W Sydney
Maddie Caspers,CM,"AM,LW",Sydney FC
Amelia Cassar,CF,,W Sydney
Georgia Cassidy,CM,DM,Perth Glory
Alana Cerne,CB,CB,Western United
Margaux Chauvet,DM,"CB,LB,RB,CM",Sydney FC
Amy Chessari,DM,"CM,LM",W Sydney
Alex Chidiac,CM,"DM,AM",Melb Victory
Sofia Christopherson,LM,"CB,RB,RM",Canberra Utd
Claudia Cicco,CB,RB,Newcastle Jets
Abby Clarke,LW,,Adelaide Utd
Alexis Collins,CF,,Newcastle Jets
Emily Condon,AM,"CM,LW,CF",Adelaide Utd
Shea Connors,CF,RW,Sydney FC
Libby Copus-Brown,CF,"CM,AM",Newcastle Jets
Alana Cortellino,RM,,Western United
Rosie Curtis,CB,"LB,RB,CM",Melb Victory
Ruby Cuthbert,CB,,Brisbane Roar
Sara D'Appolonia,CM,"LB,DM,RW",Melb Victory
Alyssa Dall'Oste,GK,GK,Western United
Isobel Dalton,CM,"DM,AM",Perth Glory
Leah Davidson,CM,DM,Melb City
Cassidy Davis,CM,"CB,DM",Newcastle Jets
Chelsie Dawber,CF,RW,Adelaide Utd
Kiara De Domizio,RW,,Western United
Deborah De La Harpe,RB,"CB,LB,RWB,RM",Brisbane Roar
Isabel Dehakiz,CB,CM,Western United
Sian Dewey,CM,DM,Adelaide Utd
Caitlin Doeglas,LW,CF,Perth Glory
Indiana Dos Santos,RW,"CM,AM",Sydney FC
Jynaya Dos Santos,RM,,Canberra Utd
Casey Dumont,GK,GK,Perth Glory
Emma Dundas,CM,DM,Newcastle Jets
Brianna Edwards,GK,GK,Sydney FC
Sara Eggesvik,CM,DM,Western United
Manaia Elliott,LM,"RM,RW",Wellington Phoenix
Shadeene Evans,RW,"LW,CF",Central Coast Mariners
Millie Farrow,CF,,Sydney FC
Aimee Feinberg-Danieli,GK,GK,Wellington Phoenix
Kirsty Fenton,LB,,Sydney FC
Olivia Fergusson,CF,,Wellington Phoenix
Gemma Ferris,CB,,W Sydney
Nickoletta Flannery,RW,"RWB,DM,LW",Melb Victory
Isabella Foletta,RB,,Perth Glory
Tahlia Franco,GK,GK,Sydney FC
Laini Freier,AM,CF,Brisbane Roar
Sharn Freier,LW,LWB,Brisbane Roar
Tiana Fuller,LW,CF,Central Coast Mariners
Holly Furphy,LW,,Melb Victory
Bianca Galić,CM,"CB,DM,AM",Central Coast Mariners
Ivana Galić,CM,,Canberra Utd
Sheridan Gallagher,CF,,Newcastle Jets
Emily Gielnik,CF,RW,Melb Victory
Beattie Goad,LB,LWB,Melb Victory
Isabel Gomez,CM,"DM,LM",Central Coast Mariners
Lara Gooch,RW,,Newcastle Jets
Bethany Gordon,CM,"DM,LM,RM",Canberra Utd
Miley Grigg,RW,"RW,CF",Adelaide Utd
Sasha Grove,LB,RB,Western United
Aimee Hall,GK,GK,W Sydney
Milan Hammond,CF,,Newcastle Jets
Ena Harada,CM,"DM,AM",W Sydney
Sophie Harding,CF,,W Sydney
Amy Harrison,CB,,W Sydney
Kathryn Harvey,CF,"LM,RM",Melb City
Mackenzie Hawkesby,CM,"AM,CF",Sydney FC
Momo Hayashi,DM,"CB,CM",Brisbane Roar
Paige Hayward,LB,,W Sydney
Erin Healy,RW,"CM,AM,LW,CF",Adelaide Utd
Mariel Hecher,AM,"LW,RW",Brisbane Roar
Bryleeh Henry,RM,"LM,CF",Melb City
Michelle Heyman,CF,,Canberra Utd
Keiwa Hieda,RM,LW,Western United
Sophie Hoban,CM,"AM,LW,CF",Newcastle Jets
Emily Hodgson,LB,"LWB,LM",Adelaide Utd
Isabel Hodgson,CF,,Adelaide Utd
Gabby Hollar,LW,"RW,CF",Perth Glory
Shay Hollman,CM,DM,Sydney FC
Dylan Holmes,DM,"CM,RW",Adelaide Utd
Isabela Hoyos,CB,,Brisbane Roar
Blake Hughes,RB,"CB,LB",Central Coast Mariners
Laura Hughes,CM,DM,Melb City
Sandra Ibargüen,CF,"LW,RW",Western United
Princess Ibini-Isei,LW,CF,Sydney FC
Olivia Ingham,CF,,Wellington Phoenix
Ashley Irwin,CB,,Central Coast Mariners
Tiana Jaber,CB,RB,Wellington Phoenix
Deven Jackson,LW,"CM,LM",Newcastle Jets
Grace Jale,LM,"CM,RW,CF",Wellington Phoenix
Sally James,GK,GK,Canberra Utd
Alana Jancevski,LB,"LW,CF",Melb Victory
Claudia Jenkins,GK,GK,Adelaide Utd
Ela Jerez,CB,RB,Wellington Phoenix
Kahli Johnson,CF,CF,Western United
Lucy Johnson,CM,AM,Sydney FC
Grace Johnston,LB,RB,Perth Glory
Talia Kapetanellis,LW,"RW,CF",W Sydney
Tiarna Karambasis,LM,"CB,CM,RM",Adelaide Utd
Caitlin Karic,LW,"CM,RW,CF",Melb City
Aideen Keane,CF,,Canberra Utd
Alivia Kelly,CB,RB,Wellington Phoenix
Sham Khamis,GK,GK,W Sydney
Taren King,CB,,Central Coast Mariners
Amali Kinsella,LB,LWB,Brisbane Roar
Lara Kirkby,LW,RW,Adelaide Utd
Greta Kraszula,CM,"CB,DM,LM",Central Coast Mariners
Zara Kruger,DM,CM,Brisbane Roar
Danielle Krzyzaniak,GK,GK,Newcastle Jets
Grace Kuilamu,CF,CF,Brisbane Roar
Rebecca Lake,CB,,Wellington Phoenix
Tanika Lala,CF,,Perth Glory
Sarah Langman,GK,GK,Central Coast Mariners
Abbey Lemon,LB,,Sydney FC
Tamar Levin,AM,RW,Brisbane Roar
Chloe Lincoln,GK,GK,Western United
Ella Lincoln,CF,"LW,RW",Perth Glory
Maya Lobo,CB,,W Sydney
Chloe Berryhill,CM,"AM,CF",Western United
Annalie Longo,CM,"AM,CF",Wellington Phoenix
Rachel Lowe,CF,"CM,AM",Melb Victory
Hana Lowry,CM,,Sydney FC
Amber Luchtmeijer,CF,"LW,RW",Sydney FC
Grace Maher,CB,LB,Western United
Emma Main,CF,RM,Wellington Phoenix
Coco Majstorovic,GK,GK,Canberra Utd
Darcey Malone,CM,DM,Canberra Utd
Maja Markovski,RW,"LW,CF",Canberra Utd
Lucía Marte,RW,"RB,LW",Adelaide Utd
Annabel Martin,LB,RB,Central Coast Mariners
Bethany Mason-Jones,GK,GK,Sydney FC
Danika Matos,RB,"LB,LWB,RWB,RM",W Sydney
Madison McComasky,CB,RB,W Sydney
Maya McCutcheon,CM,"CB,DM",Wellington Phoenix
Leticia McKenna,CF,"DM,CM,LM",Melb City
Tijan McKenna,RB,"LB,DM,CM",Perth Glory
Alex McKenzie,CB,CM,Canberra Utd
Lily McMahon,LM,"RB,DM,LW",Central Coast Mariners
Shelby McMahon,AM,,Melb City
Zoe McMeeken,RB,,Wellington Phoenix
Ella McMillan,CM,,Wellington Phoenix
Holly McNamara,CF,,Melb City
Matilda McNamara,CB,,Adelaide Utd
Holly McQueen,CB,,Brisbane Roar
Aimee Medwin,RW,"RB,RM,CF",Western United
Ilona Melegh,GK,GK,Adelaide Utd
Kiera Meyers,LW,LM,Melb City
Abby Middleton,RW,RM,Adelaide Utd
Malena Mieres,GK,GK,Melb City
Claudia Mihocic,CB,,Western United
Tianah Miro,CF,,Canberra Utd
Sarah Morgan,CM,DM,Adelaide Utd
Tanaye Morris,CF,,Brisbane Roar
Kayla Morrison,CB,,Melb Victory
Meleri Mullan,LW,,Adelaide Utd
Alana Murphy,CM,DM,Melb Victory
Emilia Murray,RM,"LW,CF",Melb City
Holly Murray,CB,,Canberra Utd
Jessika Nash,CB,,Central Coast Mariners
Ruby Nathan,CF,,Canberra Utd
Brooke Neary,GK,GK,Wellington Phoenix
Courtney Newbon,GK,GK,Melb Victory
Brooke Nunn,AM,"CM,LW,RW,CF",Central Coast Mariners
Sarah O'Donoghue,CF,AM,Perth Glory
Ella O'Grady,CF,,Melb Victory
Taylor Otto,CB,,Melb City
Hollie Palmer,CM,,Perth Glory
Chrissy Panagaris,CF,"CM,LW,RW",Adelaide Utd
Jade Pennock,RW,"LW,CF",Central Coast Mariners
Susan Phonsongkham,LW,,Perth Glory
Laura Pickett,RB,,Melb Victory
Rhianna Pollicina,CF,CM,Melb City
Evdokiya Popadinova,CF,,Brisbane Roar
Avaani Prakash,LM,LW,Western United
Olivia Price,CM,"DM,RM,AM",W Sydney
Emily Pringle,LWB,"CM,LW,RW",Brisbane Roar
Natasha Prior,CB,,Newcastle Jets
Leia Puxty,CB,"LB,RB",Central Coast Mariners
Tess Quilligan,DM,CM,Central Coast Mariners
Annalise Rasmussen,CF,,Central Coast Mariners
Taylor Ray,CB,"DM,CM",Central Coast Mariners
Keeley Richards,GK,GK,Brisbane Roar
Brianne Riley,CB,RB,Central Coast Mariners
Emily Roach,CM,"DM,LM,RM",Western United
Emma Robers,CM,"CB,DM,LM",Canberra Utd
Morgan Roberts,RW,"LW,CF",Perth Glory
Tiahna Robertson,GK,GK,Newcastle Jets
Karly Roestbakken,LB,RB,Melb City
Isabel Rolley,CB,RB,Newcastle Jets
Sarah Rowe,RB,,Central Coast Mariners
Cushla Rue,CF,"LWB,RWB,RW",W Sydney
Sofia Sakalis,AM,,Melb Victory
Julia Sardo,RB,,Western United
Nanako Sasaki,CM,DM,Adelaide Utd
Sienna Saveska,AM,"CM,LW,RW,CF",W Sydney
Jessica Seaman,CB,,Central Coast Mariners
Keely Segavcic,GK,GK,W Sydney
Olivia Sekany,GK,GK,Brisbane Roar
Lillian Skelly,RW,RWB,Canberra Utd
Mariana Speckmaier,LW,"LM,RM,CF",Melb City
Anika Stajcic,CB,,W Sydney
Mary Stanic-Floody,CM,"RM,AM,CF",Canberra Utd
Rebekah Stott,CB,,Melb City
Rubi Sullivan,RB,LB,Sydney FC
Miku Sunaga,LW,RW,Perth Glory
Caley Tallon-Henniker,RW,LW,Sydney FC
Danelle Tan,CF,,Brisbane Roar
Mebae Tanaka,RM,CM,Wellington Phoenix
Adriana Taranto,LW,RW,Western United
Melissa Taranto,CM,"DM,AM",Western United
Natalie Tathem,RB,"CB,CM",Perth Glory
Hayley Taylor-Young,CB,"LB,RB,LM",Canberra Utd
Miranda Templeman,GK,GK,Perth Glory
Naomi Thomas-Chinnama,CB,,Perth Glory
Jordan Thompson,CB,,Sydney FC
Natalie Tobin,CB,,Sydney FC
Zoe Tolland,CB,RB,Adelaide Utd
Ella Tonkin,CB,,Adelaide Utd
Bronte Trew,CF,"CM,RW",W Sydney
Peta Trimis,LW,LM,Central Coast Mariners
Tori Tumeth,RB,,Sydney FC
Claudia Valleta,RB,,Perth Glory
Leia Varley,CB,,Brisbane Roar
Giavanna Vicari,CF,"AM,LW",Newcastle Jets
Carolina Vilão,GK,GK,Wellington Phoenix
